    ,symbol ,name                                   ,sector                 ,sub_sector                                              ,hq                                            ,date_added  ,founded        ,market_cap    ,mkh
  0 ,MSFT   ,Microsoft                              ,Information Technology ,Systems Software                                        ,"Redmond, Washington"                         ,1994-06-01  ,1975           ,3215811890800 ,3.22T
  1 ,AAPL   ,Apple Inc.                             ,Information Technology ,"Technology Hardware, Storage & Peripherals"            ,"Cupertino, California"                       ,1982-11-30  ,1977           ,3176458815000 ,3.18T
  2 ,NVDA   ,Nvidia                                 ,Information Technology ,Semiconductors                                          ,"Santa Clara, California"                     ,2001-11-30  ,1993           ,2974180453000 ,2.97T
  3 ,GOOG   ,Alphabet Inc. (Class C)                ,Communication Services ,Interactive Media & Services                            ,"Mountain View, California"                   ,2006-04-03  ,1998           ,2191900088219 ,2.19T
  4 ,GOOGL  ,Alphabet Inc. (Class A)                ,Communication Services ,Interactive Media & Services                            ,"Mountain View, California"                   ,2014-04-03  ,1998           ,2191142939603 ,2.19T
  5 ,AMZN   ,Amazon                                 ,Consumer Discretionary ,Broadline Retail                                        ,"Seattle, Washington"                         ,2005-11-18  ,1994           ,1948427718000 ,1.95T
  6 ,META   ,Meta Platforms                         ,Communication Services ,Interactive Media & Services                            ,"Menlo Park, California"                      ,2013-12-23  ,2004           ,1287215011996 ,1.29T
  7 ,BRK-B  ,Berkshire Hathaway                     ,Financials             ,Multi-Sector Holdings                                   ,"Omaha, Nebraska"                             ,2010-02-16  ,1839           , 881787483165 ,8.82e+02B
  8 ,LLY    ,Eli Lilly and Company                  ,Health Care            ,Pharmaceuticals                                         ,"Indianapolis, Indiana"                       ,1970-12-31  ,1876           , 822879657100 ,8.23e+02B
  9 ,AVGO   ,Broadcom Inc.                          ,Information Technology ,Semiconductors                                          ,"Palo Alto, California"                       ,2014-05-08  ,1961           , 677071983630 ,6.77e+02B
 10 ,JPM    ,JPMorgan Chase                         ,Financials             ,Diversified Banks                                       ,"New York City, New York"                     ,1975-06-30  ,2000           , 558137781200 ,5.58e+02B
 11 ,V      ,Visa Inc.                              ,Financials             ,Transaction & Payment Processing Services               ,"San Francisco, California"                   ,2009-12-21  ,1958           , 549613919602 ,5.5e+02B
 12 ,TSLA   ,"Tesla, Inc."                          ,Consumer Discretionary ,Automobile Manufacturers                                ,"Austin, Texas"                               ,2020-12-21  ,2003           , 544268872000 ,5.44e+02B
 13 ,WMT    ,Walmart                                ,Consumer Staples       ,Consumer Staples Merchandise Retail                     ,"Bentonville, Arkansas"                       ,1982-08-31  ,1962           , 537829786700 ,5.38e+02B
 14 ,XOM    ,ExxonMobil                             ,Energy                 ,Integrated Oil & Gas                                    ,"Irving, Texas"                               ,1957-03-04  ,1999           , 503186768100 ,5.03e+02B
 15 ,UNH    ,UnitedHealth Group                     ,Health Care            ,Managed Health Care                                     ,"Minnetonka, Minnesota"                       ,1994-07-01  ,1977           , 456713444700 ,4.57e+02B
 16 ,MA     ,Mastercard                             ,Financials             ,Transaction & Payment Processing Services               ,"Harrison, New York"                          ,2008-07-18  ,1966           , 414225928800 ,4.14e+02B
 17 ,PG     ,Procter & Gamble                       ,Consumer Staples       ,Personal Care Products                                  ,"Cincinnati, Ohio"                            ,1957-03-04  ,1837           , 395276247200 ,3.95e+02B
 18 ,COST   ,Costco                                 ,Consumer Staples       ,Consumer Staples Merchandise Retail                     ,"Issaquah, Washington"                        ,1993-10-01  ,1976           , 376528848850 ,3.77e+02B
 19 ,JNJ    ,Johnson & Johnson                      ,Health Care            ,Pharmaceuticals                                         ,"New Brunswick, New Jersey"                   ,1973-06-30  ,1886           , 353204356800 ,3.53e+02B
 20 ,ORCL   ,Oracle Corporation                     ,Information Technology ,Application Software                                    ,"Austin, Texas"                               ,1989-08-31  ,1977           , 340485418800 ,3.4e+02B
 21 ,MRK    ,Merck & Co.                            ,Health Care            ,Pharmaceuticals                                         ,"Kenilworth, New Jersey"                      ,1957-03-04  ,1891           , 333925670400 ,3.34e+02B
 22 ,HD     ,Home Depot (The)                       ,Consumer Discretionary ,Home Improvement Retail                                 ,"Atlanta, Georgia"                            ,1988-03-31  ,1978           , 332904652080 ,3.33e+02B
 23 ,BAC    ,Bank of America                        ,Financials             ,Diversified Banks                                       ,"Charlotte, North Carolina"                   ,1976-06-30  ,1998           , 303899578200 ,3.04e+02B
 24 ,ABBV   ,AbbVie                                 ,Health Care            ,Biotechnology                                           ,"North Chicago, Illinois"                     ,2012-12-31  ,2013           , 296136399000 ,2.96e+02B
 25 ,CVX    ,Chevron Corporation                    ,Energy                 ,Integrated Oil & Gas                                    ,"San Ramon, California"                       ,1957-03-04  ,1879           , 288406375300 ,2.88e+02B
 26 ,NFLX   ,Netflix                                ,Communication Services ,Movies & Entertainment                                  ,"Los Gatos, California"                       ,2010-12-20  ,1997           , 279502350750 ,2.8e+02B
 27 ,KO     ,Coca-Cola Company (The)                ,Consumer Staples       ,Soft Drinks & Non-alcoholic Beverages                   ,"Atlanta, Georgia"                            ,1957-03-04  ,1886           , 273770222500 ,2.74e+02B
 28 ,AMD    ,Advanced Micro Devices                 ,Information Technology ,Semiconductors                                          ,"Santa Clara, California"                     ,2017-03-20  ,1969           , 256928637600 ,2.57e+02B
 29 ,CRM    ,Salesforce                             ,Information Technology ,Application Software                                    ,"San Francisco, California"                   ,2008-09-15  ,1999           , 233519310000 ,2.34e+02B
 30 ,QCOM   ,Qualcomm                               ,Information Technology ,Semiconductors                                          ,"San Diego, California"                       ,1999-07-22  ,1985           , 232708320000 ,2.33e+02B
 31 ,PEP    ,PepsiCo                                ,Consumer Staples       ,Soft Drinks & Non-alcoholic Beverages                   ,"Purchase, New York"                          ,1957-03-04  ,1898           , 226936585300 ,2.27e+02B
 32 ,TMO    ,Thermo Fisher Scientific               ,Health Care            ,Life Sciences Tools & Services                          ,"Waltham, Massachusetts"                      ,2004-08-03  ,2006           , 219826427240 ,2.2e+02B
 33 ,LIN    ,Linde plc                              ,Materials              ,Industrial Gases                                        ,"Guildford, United Kingdom"                   ,1992-07-01  ,1879           , 209342203680 ,2.09e+02B
 34 ,TMUS   ,T-Mobile US                            ,Communication Services ,Wireless Telecommunication Services                     ,"Bellevue, Washington"                        ,2019-07-15  ,1994           , 209058040000 ,2.09e+02B
 35 ,ADBE   ,Adobe Inc.                             ,Information Technology ,Application Software                                    ,"San Jose, California"                        ,1997-05-05  ,1982           , 207285120000 ,2.07e+02B
 36 ,WFC    ,Wells Fargo                            ,Financials             ,Diversified Banks                                       ,"San Francisco, California"                   ,1976-06-30  ,1852           , 199173461600 ,1.99e+02B
 37 ,DHR    ,Danaher Corporation                    ,Health Care            ,Life Sciences Tools & Services                          ,"Washington, D.C."                            ,1998-11-18  ,1969           , 193504478750 ,1.94e+02B
 38 ,AMAT   ,Applied Materials                      ,Information Technology ,Semiconductor Materials & Equipment                     ,"Santa Clara, California"                     ,1995-03-16  ,1967           , 190409410750 ,1.9e+02B
 39 ,ACN    ,Accenture                              ,Information Technology ,IT Consulting & Other Services                          ,"Dublin, Ireland"                             ,2011-07-06  ,1989           , 184984646380 ,1.85e+02B
 40 ,CSCO   ,Cisco                                  ,Information Technology ,Communications Equipment                                ,"San Jose, California"                        ,1993-12-01  ,1984           , 184398633700 ,1.84e+02B
 41 ,ABT    ,Abbott                                 ,Health Care            ,Health Care Equipment                                   ,"North Chicago, Illinois"                     ,1957-03-04  ,1888           , 184070250300 ,1.84e+02B
 42 ,DIS    ,Walt Disney Company (The)              ,Communication Services ,Movies & Entertainment                                  ,"Burbank, California"                         ,1976-06-30  ,1923           , 183890044800 ,1.84e+02B
 43 ,MCD    ,McDonald's                             ,Consumer Discretionary ,Restaurants                                             ,"Chicago, Illinois"                           ,1970-06-30  ,1940           , 183337151400 ,1.83e+02B
 44 ,TXN    ,Texas Instruments                      ,Information Technology ,Semiconductors                                          ,"Dallas, Texas"                               ,2001-03-12  ,1930           , 179765566080 ,1.8e+02B
 45 ,GE     ,GE Aerospace                           ,Industrials            ,Aerospace & Defense                                     ,"Evendale, Ohio"                              ,1957-03-04  ,1892           , 175531659600 ,1.76e+02B
 46 ,VZ     ,Verizon                                ,Communication Services ,Integrated Telecommunication Services                   ,"New York City, New York"                     ,1983-11-30  ,1983           , 170138289200 ,1.7e+02B
 47 ,AXP    ,American Express                       ,Financials             ,Consumer Finance                                        ,"New York City, New York"                     ,1976-06-30  ,1850           , 161505102590 ,1.62e+02B
 48 ,PM     ,Philip Morris International            ,Consumer Staples       ,Tobacco                                                 ,"New York City, New York"                     ,2008-03-31  ,2008           , 161394419200 ,1.61e+02B
 49 ,AMGN   ,Amgen                                  ,Health Care            ,Biotechnology                                           ,"Thousand Oaks, California"                   ,1992-01-02  ,1980           , 161306004199 ,1.61e+02B
 50 ,CAT    ,Caterpillar Inc.                       ,Industrials            ,Construction Machinery & Heavy Transportation Equipment ,"Irving, Texas"                               ,1957-03-04  ,1925           , 160071937430 ,1.6e+02B
 51 ,PFE    ,Pfizer                                 ,Health Care            ,Pharmaceuticals                                         ,"New York City, New York"                     ,1957-03-04  ,1849           , 158834517700 ,1.59e+02B
 52 ,INTU   ,Intuit                                 ,Information Technology ,Application Software                                    ,"Mountain View, California"                   ,2000-12-05  ,1983           , 158419284900 ,1.58e+02B
 53 ,IBM    ,IBM                                    ,Information Technology ,IT Consulting & Other Services                          ,"Armonk, New York"                            ,1957-03-04  ,1911           , 155537859960 ,1.56e+02B
 54 ,MS     ,Morgan Stanley                         ,Financials             ,Investment Banking & Brokerage                          ,"New York City, New York"                     ,1993-07-29  ,1935           , 155089018800 ,1.55e+02B
 55 ,CMCSA  ,Comcast                                ,Communication Services ,Cable & Satellite                                       ,"Philadelphia, Pennsylvania"                  ,2002-11-19  ,1963           , 149991377600 ,1.5e+02B
 56 ,MU     ,Micron Technology                      ,Information Technology ,Semiconductors                                          ,"Boise, Idaho"                                ,1994-09-27  ,1978           , 149572465900 ,1.5e+02B
 57 ,NEE    ,NextEra Energy                         ,Utilities              ,Multi-Utilities                                         ,"Juno Beach, Florida"                         ,1976-06-30  ,1984           , 149446512200 ,1.49e+02B
 58 ,ISRG   ,Intuitive Surgical                     ,Health Care            ,Health Care Equipment                                   ,"Sunnyvale, California"                       ,2008-06-02  ,1995           , 148543778680 ,1.49e+02B
 59 ,NOW    ,ServiceNow                             ,Information Technology ,Systems Software                                        ,"Santa Clara, California"                     ,2019-11-21  ,2003           , 145968200000 ,1.46e+02B
 60 ,UBER   ,Uber                                   ,Industrials            ,Passenger Ground Transportation                         ,"San Francisco, California"                   ,2023-12-18  ,2009           , 145409696800 ,1.45e+02B
 61 ,NKE    ,"Nike, Inc."                           ,Consumer Discretionary ,"Apparel, Accessories & Luxury Goods"                   ,"Washington County, Oregon"                   ,1988-11-30  ,1964           , 144681651290 ,1.45e+02B
 62 ,BX     ,Blackstone                             ,Financials             ,Asset Management & Custody Banks                        ,"New York City, New York"                     ,2023-09-18  ,1985           , 143888940532 ,1.44e+02B
 63 ,GS     ,Goldman Sachs                          ,Financials             ,Investment Banking & Brokerage                          ,"New York City, New York"                     ,2002-07-22  ,1869           , 143261081280 ,1.43e+02B
 64 ,RTX    ,RTX Corporation                        ,Industrials            ,Aerospace & Defense                                     ,"Waltham, Massachusetts"                      ,1957-03-04  ,1922           , 142151209200 ,1.42e+02B
 65 ,UNP    ,Union Pacific Corporation              ,Industrials            ,Rail Transportation                                     ,"Omaha, Nebraska"                             ,1957-03-04  ,1862           , 138747844020 ,1.39e+02B
 66 ,HON    ,Honeywell                              ,Industrials            ,Industrial Conglomerates                                ,"Charlotte, North Carolina"                   ,1957-03-04  ,1906           , 136410443280 ,1.36e+02B
 67 ,SPGI   ,S&P Global                             ,Financials             ,Financial Exchanges & Data                              ,"New York City, New York"                     ,1957-03-04  ,1917           , 134174649000 ,1.34e+02B
 68 ,COP    ,ConocoPhillips                         ,Energy                 ,Oil & Gas Exploration & Production                      ,"Houston, Texas"                              ,1957-03-04  ,2002           , 132300545300 ,1.32e+02B
 69 ,SYK    ,Stryker Corporation                    ,Health Care            ,Health Care Equipment                                   ,"Kalamazoo, Michigan"                         ,2000-12-12  ,1941           , 131961080000 ,1.32e+02B
